survey_weight,religious_affiliation,contact_with_other_religions,perception_christianity,perception_islam,perception_judaism,perception_buddhism,perception_hinduism,perception_religious_diversity,perception_atheism,left_right_political_orientation,selfishness_index,lack_of_social_support_index,negligence_to_others_index,trust_government_over_family_index,disregard_of_threats_index,religion_strength_index,trust_public_over_alternative_media_index,frequency_of_discrimination_index,country_of_residence_2.0,country_of_residence_3.0,country_of_residence_4.0,country_of_residence_5.0,country_of_residence_6.0,country_of_residence_7.0,age_2.0,age_3.0,age_4.0,age_5.0,income_group_2,income_group_3,income_group_4,income_group_5,income_group_6,income_group_7,income_group_8,income_group_9,gender_2.0,gender_3.0
0.721349954605103,7.0,0.5,1.0,1.0,1.0,0.5,0.5,0.25,0.75,0.2222222222222222,0.8095238095238095,0.0,0.4,0.1111111111111111,0.0,0.21875,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.30007457733154,1.0,0.5,0.5,0.25,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.4761904761904763,0.16666666666666666,0.2666666666666667,0.3333333333333333,0.25,0.484375,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.830567717552185,1.0,0.25,0.75,0.25,0.5,1.0,1.0,0.0,0.0,0.7777777777777777,0.19047619047619047,0.5,0.2,0.4444444444444445,0.6666666666666666,0.296875,0.3333333333333333,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2.03754305839539,1.0,0.25,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.6666666666666665,0.42857142857142855,0.5,0.33333333333333337,0.3333333333333333,0.16666666666666666,0.265625,0.6666666666666667,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9.27037715911865,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.25,1.0,0.4444444444444445,0.523809523809524,0.33333333333333337,0.4,0.1111111111111111,0.16666666666666666,0.421875,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.755412101745605,7.0,0.25,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.4444444444444445,0.4761904761904763,0.16666666666666666,0.4,0.5555555555555555,0.4166666666666667,0.09375,0.6666666666666667,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.79442977905273,1.0,0.5,0.75,0.25,0.5,0.75,0.5,0.5,0.25,0.2222222222222222,0.6190476190476192,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.25,0.5625,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.11171448230743,1.0,0.25,1.0,0.25,1.0,0.5,0.25,0.5,1.0,0.4444444444444445,0.619047619047619,0.3333333333333333,0.33333333333333337,0.6666666666666666,0.3333333333333333,0.203125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.52665460109711,1.0,0.5,0.75,0.5,0.75,0.5,0.5,0.5,1.0,0.3333333333333333,0.619047619047619,0.3333333333333333,0.2666666666666667,0.3333333333333333,0.08333333333333333,0.328125,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.815658271312714,1.0,0.75,1.0,0.25,1.0,1.0,1.0,0.25,0.5,0.6666666666666665,0.380952380952381,0.5,0.4666666666666667,0.4444444444444445,0.3333333333333333,0.3125,0.3333333333333333,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.12562274932861,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444445,0.4761904761904763,0.5,0.6000000000000001,0.5555555555555556,0.3333333333333333,0.28125,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.392585247755051,1.0,0.5,0.75,0.0,0.75,1.0,1.0,1.0,1.0,0.4444444444444445,0.47619047619047616,0.16666666666666666,0.2,0.1111111111111111,0.25,0.65625,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.64924818277359,7.0,0.5,0.0,1.0,1.0,1.0,1.0,0.25,1.0,0.0,0.4761904761904763,0.33333333333333337,0.5333333333333333,0.4444444444444444,0.0,0.171875,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.261938184499741,7.0,0.25,1.0,0.0,1.0,0.5,1.0,0.5,0.75,0.2222222222222222,0.7142857142857144,0.16666666666666666,0.4666666666666666,0.3333333333333333,0.3333333333333333,0.28125,0.3333333333333333,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.215397730469704,7.0,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.0,0.6666666666666665,0.42857142857142855,0.3333333333333333,0.4666666666666667,0.0,0.5,0.75,0.3333333333333333,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.261781573295593,1.0,0.5,0.5,0.25,0.5,0.75,0.5,0.75,1.0,0.4444444444444445,0.42857142857142855,0.33333333333333337,0.2666666666666667,0.2222222222222222,0.16666666666666666,0.296875,0.6666666666666667,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.635007500648499,1.0,0.5,1.0,0.0,0.75,1.0,1.0,0.25,0.5,0.4444444444444445,0.6190476190476192,0.16666666666666666,0.4,0.2222222222222222,0.25,0.4375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.205615013837814,1.0,0.25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.5714285714285714,0.5,0.4666666666666667,0.1111111111111111,0.16666666666666666,0.640625,0.6666666666666667,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.04175007343292,7.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.75,0.4444444444444445,0.9523809523809524,0.0,0.06666666666666667,0.4444444444444444,0.5,0.28125,0.6666666666666667,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.498323827981949,1.0,0.25,0.75,0.25,0.5,0.75,0.75,0.25,1.0,0.5555555555555556,0.5238095238095238,0.3333333333333333,0.2,0.2222222222222222,0.08333333333333333,0.59375,0.16666666666666666,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.461842030286789,1.0,0.5,0.5,1.0,1.0,0.75,1.0,0.75,1.0,0.2222222222222222,0.7142857142857143,0.16666666666666666,0.26666666666666666,0.3333333333333333,0.25,0.375,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.316859632730484,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.25,1.0,0.0,0.5714285714285714,0.3333333333333333,0.33333333333333337,0.22222222222222224,0.0,0.59375,0.0,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.630834698677063,1.0,0.75,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.3333333333333333,0.6666666666666667,0.5,0.33333333333333337,0.4444444444444445,0.4166666666666667,0.234375,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.355686455965042,1.0,0.75,0.5,0.25,0.5,0.75,0.5,0.5,0.5,0.2222222222222222,0.5714285714285715,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.08333333333333333,0.328125,0.8333333333333334,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.94856208562851,1.0,0.5,0.5,0.25,1.0,0.5,1.0,0.25,1.0,0.6666666666666665,0.14285714285714285,0.6666666666666666,0.3333333333333333,0.22222222222222224,0.3333333333333333,0.546875,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.514844417572021,7.0,0.0,0.25,0.0,0.25,1.0,0.25,0.0,0.75,0.5555555555555556,0.42857142857142866,0.5,0.5333333333333334,0.5555555555555555,0.25,0.25,0.6666666666666667,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
